"ANO_ELEICAO","NUM_TURNO","SIGLA_UE","CODIGO_CARGO","NOME_URNA_CANDIDATO","NUMERO_CANDIDATO"
2012,1,"08168",11,"VONEI",13
2012,1,"08168",11,"CLODOMIR",28
2012,1,"08168",11,"MOREIRA",43
2012,1,"08168",11,"TALITA LACI",65
2012,1,"08176",11,"ALMEIDA",11
2012,1,"08176",11,"ERICA REVIL",14
2012,1,"08176",11,"MARLON",36
2012,1,"08249",11,"LUZIANE",11
2012,1,"08249",11,"ZE ERNANI",14
2012,1,"08257",11,"COSTA JUNIOR",10
2012,1,"08257",11,"NETO CARVALHO",15
2012,1,"08273",11,"BESALIEL",12
2012,1,"08273",11,"CARMEM NETO",15
2012,1,"08273",11,"GLINOEL",43
2012,1,"08290",11,"BETO PIXUTA",25
2012,1,"08290",11,"ELDO JORGE",43
2012,1,"08311",11,"SUELY PEREIRA",40
2012,1,"08311",11,"ELINALDO COLACO",55
2012,1,"08354",11,"AMAURY",15
2012,1,"08354",11,"EDUARDO AMORIM",55
2012,1,"08370",11,"JESIEL ARAUJO",23
2012,1,"08370",11,"QUEIROZ",25
2012,1,"08435",11,"RIBA XEREM",10
2012,1,"08435",11,"PEDRO CUSTODIO",15
2012,1,"08435",11,"BETA COUTINHO",40
2012,1,"08443",11,"RAIMUNDA VIANA",12
2012,1,"08443",11,"DR JERRY",14
2012,1,"08460",11,"DR FLAVIO",15
2012,1,"08460",11,"DULCINHA",43
2012,1,"08478",11,"PASTOR IVANILTON",10
2012,1,"08478",11,"VEI LIMAO",11
2012,1,"08478",11,"PROF NONATO",13
2012,1,"08478",11,"RODRIGO OLIVEIRA",25
2012,1,"08478",11,"ALEX CHICAO",55
2012,1,"08486",11,"CARNEIRINHO",15
2012,1,"08486",11,"DR ORLANDO",23
2012,1,"08494",11,"MORAES MANINHO",11
2012,1,"08494",11,"NUBIA DUTRA",12
2012,1,"08494",11,"GILBERTO",15
2012,1,"08494",11,"OSMAR FILHO",16
2012,1,"08494",11,"PROF JOSEMAR",22
2012,1,"08494",11,"ALMEIDA",45
2012,1,"08494",11,"EDUARDO",50
2012,1,"08508",11,"JOSELIO RADIO",13
2012,1,"08508",11,"PASTOR WILSON",22
2012,1,"08508",11,"CHICO NUNES",43
2012,1,"08508",11,"LILCIOMAR AUTO ESCOLA",50
2012,1,"08516",11,"NILSON GARCIA",11
2012,1,"08516",11,"ELIBERTO",15
2012,1,"08532",11,"PITO",14
2012,1,"08532",11,"OLIVAN COELHO",33
2012,1,"08532",11,"APARECIDA FURTADO",43
2012,1,"08559",11,"SARNEY",11
2012,1,"08559",11,"ZE HENRIQUE",33
2012,1,"08559",11,"DR DAVI",40
2012,1,"08567",11,"FRED MAIA",15
