UF;ELE_UF;PARTIDO;FILIADOS
RN;2.430.002;PTB;11.939
RN;2.430.002;PTC;1.588
RN;2.430.002;PV;7.067
RN;2.430.002;REDE;406
RN;2.430.002;REPUBLICANOS;9.440
RN;2.430.002;SOLIDARIEDADE;6.990
RN;2.430.002;UP;7
RO;1.155.978;AVANTE;1.891
RO;1.155.978;CIDADANIA;3.113
RO;1.155.978;DC;4.833
RO;1.155.978;DEM;9.755
RO;1.155.978;MDB;20.919
RO;1.155.978;NOVO;149
RO;1.155.978;PATRIOTA;3.972
RO;1.155.978;PCB;98
RO;1.155.978;PCDOB;3.188
RO;1.155.978;PCO;17
RO;1.155.978;PDT;10.234
RO;1.155.978;PL;5.754
RO;1.155.978;PMB;22
RO;1.155.978;PMN;2.409
RO;1.155.978;PODE;6.844
RO;1.155.978;PP;14.331
RO;1.155.978;PROS;1.678
RO;1.155.978;PRTB;854
RO;1.155.978;PSB;7.562
RO;1.155.978;PSC;4.966
RO;1.155.978;PSD;3.544
RO;1.155.978;PSDB;16.670
RO;1.155.978;PSL;5.140
RO;1.155.978;PSOL;797
RO;1.155.978;PSTU;325
RO;1.155.978;PT;12.680
RO;1.155.978;PTB;12.068
RO;1.155.978;PTC;1.754
RO;1.155.978;PV;6.462
RO;1.155.978;REDE;181
RO;1.155.978;REPUBLICANOS;5.201
RO;1.155.978;SOLIDARIEDADE;2.885
RR;341.253;AVANTE;609
RR;341.253;CIDADANIA;2.455
RR;341.253;DC;1.168
RR;341.253;DEM;3.772
RR;341.253;MDB;3.357
RR;341.253;NOVO;74
RR;341.253;PATRIOTA;7.067
RR;341.253;PCB;19
RR;341.253;PCDOB;1.399
RR;341.253;PCO;49
RR;341.253;PDT;4.974
RR;341.253;PL;2.458
RR;341.253;PMB;631
RR;341.253;PMN;1.313
RR;341.253;PODE;2.080
RR;341.253;PP;5.568
RR;341.253;PROS;697
RR;341.253;PRTB;2.457
RR;341.253;PSB;1.565
RR;341.253;PSC;964
RR;341.253;PSD;1.126
RR;341.253;PSDB;5.056
RR;341.253;PSL;1.632
RR;341.253;PSOL;595
RR;341.253;PSTU;28
RR;341.253;PT;1.575
RR;341.253;PTB;4.017
RR;341.253;PTC;473
RR;341.253;PV;1.202
RR;341.253;REDE;373
RR;341.253;REPUBLICANOS;2.358
RR;341.253;SOLIDARIEDADE;1.013
RS;8.383.164;AVANTE;3.608
RS;8.383.164;CIDADANIA;26.836
RS;8.383.164;DC;1.412
RS;8.383.164;DEM;53.132
RS;8.383.164;MDB;238.463
RS;8.383.164;NOVO;3.558
RS;8.383.164;PATRIOTA;3.030
RS;8.383.164;PCB;186
RS;8.383.164;PCDOB;21.435
RS;8.383.164;PCO;157
RS;8.383.164;PDT;233.197
RS;8.383.164;PL;24.795
RS;8.383.164;PMB;53
RS;8.383.164;PMN;1.837
RS;8.383.164;PODE;9.284
RS;8.383.164;PP;205.594
RS;8.383.164;PROS;2.345
RS;8.383.164;PRTB;3.017
RS;8.383.164;PSB;58.545
RS;8.383.164;PSC;7.477
RS;8.383.164;PSD;17.477
RS;8.383.164;PSDB;94.265
RS;8.383.164;PSL;16.240
RS;8.383.164;PSOL;12.114
RS;8.383.164;PSTU;761
RS;8.383.164;PT;136.241
RS;8.383.164;PTB;119.605
RS;8.383.164;PTC;2.436
RS;8.383.164;PV;8.607
RS;8.383.164;REDE;2.401
RS;8.383.164;REPUBLICANOS;27.266
RS;8.383.164;SOLIDARIEDADE;8.451
RS;8.383.164;UP;115
SC;5.141.539;AVANTE;2.409
SC;5.141.539;CIDADANIA;21.367
SC;5.141.539;DC;2.465
SC;5.141.539;DEM;96.198
SC;5.141.539;MDB;187.564
SC;5.141.539;NOVO;3.314
SC;5.141.539;PATRIOTA;8.422
SC;5.141.539;PCB;42
SC;5.141.539;PCDOB;6.879
SC;5.141.539;PCO;62
SC;5.141.539;PDT;42.529
SC;5.141.539;PL;42.387
SC;5.141.539;PMB;96
SC;5.141.539;PMN;2.551
SC;5.141.539;PODE;9.471
SC;5.141.539;PP;130.463
SC;5.141.539;PROS;925
SC;5.141.539;PRTB;1.794
SC;5.141.539;PSB;18.554
SC;5.141.539;PSC;13.880
SC;5.141.539;PSD;51.578
SC;5.141.539;PSDB;101.268
SC;5.141.539;PSL;21.110
SC;5.141.539;PSOL;2.435
SC;5.141.539;PSTU;280
SC;5.141.539;PT;58.126
SC;5.141.539;PTB;22.881
SC;5.141.539;PTC;7.713
SC;5.141.539;PV;6.369
SC;5.141.539;REDE;328
SC;5.141.539;REPUBLICANOS;16.979
SC;5.141.539;SOLIDARIEDADE;4.926
SC;5.141.539;UP;1
SE;1.602.105;AVANTE;3.400
SE;1.602.105;CIDADANIA;9.974
SE;1.602.105;DC;1.855
SE;1.602.105;DEM;11.768
SE;1.602.105;MDB;15.424
SE;1.602.105;NOVO;185
SE;1.602.105;PATRIOTA;3.455
SE;1.602.105;PCB;794
SE;1.602.105;PCDOB;5.347
SE;1.602.105;PCO;88
SE;1.602.105;PDT;10.328
SE;1.602.105;PL;8.734
SE;1.602.105;PMB;328
SE;1.602.105;PMN;4.145
SE;1.602.105;PODE;7.085
SE;1.602.105;PP;10.992
SE;1.602.105;PROS;1.417
SE;1.602.105;PRTB;1.389
SE;1.602.105;PSB;9.142
