,fala_id,candidato,tema,ordem,tipo,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
76,71_andrea_transporte_r,Andrea,transporte,71,resposta,183,9,45.75533333333333,39.87200000000001,3.999533751985197,4.589686998394863,67.75232058199617,70.37572941275012,144.19483488263955,38.774575838627,16.130624575634446
77,3_covas_cracolandia_r,Covas,cracolandia,3,resposta,219,9,49.16866666666667,43.104000000000006,4.45405610619229,5.080734966592427,64.18275155137724,66.29833124991276,117.07244509624357,43.137259107071046,11.486472817218662
78,8_arthur_emprego_r,Arthur,emprego,8,resposta,247,5,49.16866666666667,47.07233333333333,5.023524466801351,5.247243603815405,64.35892819836877,66.29394041025836,126.7814292087645,24.44167685006325,15.117489485932689
79,7_russomano_emprego_r,Russomano,emprego,7,resposta,199,16,46.438,37.074999999999996,4.285283603945045,5.367498314227917,64.06644224645109,66.19288466003768,135.1124863267837,65.5438902214751,12.307800986491362
80,81_arthur_privatizacoes_c,Arthur,privatizacoes,81,resposta,197,0,33.467333333333336,32.34166666666666,5.8863369255592515,6.091213604741047,68.22445555511295,70.73187353581724,172.60547086698398,43.88345926943245,17.62301346687737
81,5_joice_cracolandia_r,Joice,cracolandia,5,resposta,261,2,46.438,43.568000000000005,5.62039708859124,5.9906353286816,64.64086283916886,66.40175354851576,263.21919352883987,51.48188922854354,21.99418865796048
82,32_arthur_aliancas-plano-diretor_p,Arthur,aliancas plano diretor,32,pergunta,172,0,29.371333333333332,29.061666666666667,5.856050116894024,5.918449274531169,67.46391897976775,69.8590719061764,140.0584248152253,31.26992630826214,14.91234511012112
83,114_arthur_educacao_r,Arthur,educacao,114,resposta,228,10,51.21666666666667,46.111999999999995,4.451675886755614,4.944482997918113,69.20967467027722,72.45204915079569,141.72201428929586,32.99126870983836,15.33813910646633
84,24_sabara_emprego_p,Sabara,emprego,24,pergunta,129,10,27.323333333333334,22.165666666666656,4.721239477857753,5.819811420064066,65.04281420346979,66.60973101579404,123.83195059357263,23.45707257630605,17.180392869666086
85,47_joice_aliancas_r,Joice,aliancas,47,resposta,203,0,34.15,33.667,5.944363103953148,6.029643270858704,67.83127680567841,69.9198847071277,247.20458420199103,53.64782671378468,21.810484422766507
86,143_orlando_consideracoes_r,Orlando,consideracoes,143,resposta,206,18,51.89933333333333,40.05366666666666,3.969222469138974,5.143099674603242,71.57419712818978,74.41279414934453,164.56156169133584,31.93045990042142,17.075200656305842
87,72_tatto_transporte_c,Tatto,transporte,72,resposta,152,5,34.15,29.554999999999996,4.45095168374817,5.142953814921333,68.34900598343647,70.69376907382944,138.77226649254317,45.21321765883655,14.777841232919634
88,55_franca_sustentabilidade_r,Franca,sustentabilidade,55,resposta,178,5,33.467333333333336,30.560000000000006,5.3186191510129275,5.824607329842931,66.65281294288167,69.00080076354354,133.71405343552263,28.72593317816382,12.93064327249215
89,66_covas_urbanizacao_c,Covas,urbanizacao,66,resposta,149,6,36.88066666666667,30.928000000000008,4.04005712116556,4.817640972581478,66.9105013059409,69.24483168902643,123.87324845693033,25.306363368933923,15.036249655686973
90,122_covas_transporte_r,Covas,transporte,122,resposta,172,19,50.534,40.111999999999995,3.4036490283769343,4.287993617869964,68.81996414154906,72.58359514715296,118.21780633502644,42.79620373409356,15.411276258516647
91,31_andrea_planejamento_r,Andrea,planejamento,31,resposta,151,5,34.83266666666667,31.504000000000005,4.335011196386533,4.793042153377348,67.67851248193762,70.29209396763626,143.52695764188852,40.85256477664288,16.441151763769735
92,26_sabara_emprego_sustentabilidade_p,Sabara,emprego,26,pergunta,153,5,29.371333333333332,26.325666666666663,5.209160859795265,5.811818630740596,65.20875809241294,66.79094817441064,129.30870370948895,17.82723712892386,12.060059977997334
93,28_franca_obras_p,Franca,obras,28,pergunta,162,7,32.784666666666666,28.528000000000006,4.9413343636252725,5.678631519910263,66.99603612645015,68.90043161357482,130.4431306644264,30.835870765486476,14.538136510765721
94,30_franca_planejamento_p,Franca,planejamento,30,pergunta,149,4,32.784666666666666,29.664000000000005,4.54480753197633,5.022923408845738,67.28282398802718,69.80543858576176,128.4893060250544,40.05249371502044,11.029152670348433
95,140_andrea_consideracoes_r,Andrea,consideracoes,140,resposta,180,18,49.851333333333336,39.10966666666666,3.61073592147318,4.602442703849858,71.69040687061556,74.5863907249472,129.78930536062225,31.261683824477096,14.386848632816687
96,33_russomano_aliancas_r,Russomano,aliancas,33,resposta,201,14,47.120666666666665,38.65633333333332,4.26564423253774,5.199665427829853,67.99331130975044,70.00766905537014,142.82688879354365,71.52697441893787,12.755635099075308
97,38_covas_saude-educacao_p,Covas,saude educacao,38,pergunta,135,5,32.784666666666666,28.527999999999995,4.117778636354394,4.7321929332585535,66.97342742617853,69.61365779055285,119.8750608674072,25.853166653929936,15.053414954368765
